City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-08-12 02:30:20,-9.8,-139.0333,77.41,72,18,16.31
1,Hermanus,ZA,2021-08-12 02:27:35,-34.4187,19.2345,48.9,83,100,10.71
2,Karasjok,NO,2021-08-12 02:31:54,69.4719,25.5112,53.71,94,96,4.23
3,Bilma,NE,2021-08-12 02:31:55,18.6853,12.9164,88.54,38,76,10.22
4,Mataura,NZ,2021-08-12 02:28:19,-46.1927,168.8643,59.49,78,100,6.6
5,Kodinsk,RU,2021-08-12 02:28:37,58.6881,99.1844,73.81,39,74,3.6
6,Kholodnyy,RU,2021-08-12 02:31:57,62.7167,147.95,79.9,24,11,5.01
7,Lagoa,PT,2021-08-12 02:28:36,39.05,-27.9833,72.09,83,46,14.52
8,Vaini,TO,2021-08-12 02:28:50,-21.2,-175.2,66.36,100,90,3.44
9,Derac,HT,2021-08-12 02:31:57,19.65,-71.8167,74.03,81,79,4.76
10,Necochea,AR,2021-08-12 02:30:08,-38.5473,-58.7368,43.03,79,5,0.09
11,Barrow,US,2021-08-12 02:30:25,71.2906,-156.7887,37.42,87,90,17.27
12,Salinopolis,BR,2021-08-12 02:31:58,-0.6136,-47.3561,78.67,88,96,10.16
13,Grindavik,IS,2021-08-12 02:28:06,63.8424,-22.4338,53.55,93,90,4.61
14,Punta Arenas,CL,2021-08-12 02:24:55,-53.15,-70.9167,44.71,87,75,4.61
15,Thompson,CA,2021-08-12 02:29:43,55.7435,-97.8558,46.56,93,90,18.41
16,New Norfolk,AU,2021-08-12 02:30:30,-42.7826,147.0587,55.92,59,44,7.0
17,Albany,US,2021-08-12 02:28:12,42.6001,-73.9662,81.25,86,100,4.18
18,Szubin,PL,2021-08-12 02:31:59,53.0097,17.74,49.91,93,0,2.3
19,Kapaa,US,2021-08-12 02:27:44,22.0752,-159.319,84.52,69,20,3.0
20,Severo-Kurilsk,RU,2021-08-12 02:28:30,50.6789,156.125,57.0,69,100,9.91
21,Camacupa,AO,2021-08-12 02:32:00,-12.0167,17.4833,54.73,25,0,3.02
22,Upernavik,GL,2021-08-12 02:28:34,72.7868,-56.1549,41.09,92,100,20.6
23,Lebu,CL,2021-08-12 02:30:21,-37.6167,-73.65,47.35,79,0,5.44
24,Carnarvon,AU,2021-08-12 02:29:16,-24.8667,113.6333,64.47,32,0,14.97
25,Quatre Cocos,MU,2021-08-12 02:32:00,-20.2078,57.7625,71.71,85,32,10.89
26,Aguas Vermelhas,BR,2021-08-12 02:32:01,-15.7472,-41.46,59.92,70,38,3.22
27,Paita,PE,2021-08-12 02:28:48,-5.0892,-81.1144,64.08,83,20,13.27
