City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Esmeraldas,BR,63.46,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
2,Vaini,TO,68.16,-21.2,-175.2,Keleti Beach Resort
3,Herat,AF,74.64,34.5,62.0,
5,Chokurdakh,RU,68.9,70.6333,147.9167,
6,Jamestown,US,76.59,42.097,-79.2353,Hampton Inn & Suites Jamestown
7,Vanavara,RU,75.58,60.34,102.2797,
9,The Valley,AI,83.1,18.217,-63.0578,CeBlue Villas & Beach Resort
11,Atuona,PF,77.54,-9.8,-139.0333,Villa Enata
13,Avarua,CK,80.65,-21.2078,-159.775,Paradise Inn
14,Xinzhi,CN,88.9,36.4989,111.7047,Mingyue Hotel
15,Kamenskiy,RU,72.82,50.8855,45.488,
16,Hithadhoo,MV,81.3,-0.6,73.0833,Scoop Guest House
17,Gornorechenskiy,RU,60.17,44.2624,135.1133,Hotel Lavender
18,Albany,US,76.95,42.6001,-73.9662,
21,Laguna,US,95.5,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
24,Rikitea,PF,70.79,-23.1203,-134.9692,People ThankYou
26,Kapaa,US,84.52,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Airai,TL,73.6,-8.9266,125.4092,Juvinal Martin
28,Kargat,RU,66.04,55.1956,80.2811,Kargat
31,Skala,PL,61.18,50.2305,19.8536,Hotel pod Kazimierzem
33,Batagay-Alyta,RU,77.47,67.8006,130.4114,
34,Carlsbad,US,81.59,33.1581,-117.3506,Carlsbad Inn Beach Resort
35,Kavieng,PG,86.36,-2.5744,150.7967,Nusa Island Retreat
37,Erdenet,MN,67.17,49.0333,104.0833,Erdenet hotel
38,San Patricio,US,84.85,28.017,-97.5169,"Motel 6 Sinton, TX"
39,Acarau,BR,79.39,-2.8856,-40.12,castelo pizzaria
40,Tilichiki,RU,67.48,60.4667,166.1,
49,Pisco,PE,60.85,-13.7,-76.2167,Hotel San Isidro Oficial
50,Cabo San Lucas,MX,84.06,22.8909,-109.9124,Hotel Tesoro Los Cabos
51,Bethel,US,76.1,41.3712,-73.414,Courtyard by Marriott Danbury
52,Yibin,CN,83.97,28.7667,104.6238,Handsome Guesthouse
54,Huilong,CN,89.04,31.8111,121.655,Hilton Garden Inn Qidong
56,Parabel,RU,68.54,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
60,Bathsheba,BB,79.41,13.2167,-59.5167,Atlantis Hotel
61,Sao Joao Da Barra,BR,70.27,-21.6403,-41.0511,Pousada Porto De Canoas
62,Mongo,TD,73.69,12.1844,18.693,Résidences du Programme FIDA
63,Lashio,MM,71.6,22.9333,97.75,Hotel CF Lashio - Burmese Only
65,Lumphat,KH,81.59,13.4878,106.9816,Lumphat Homestay
69,Ribeira Grande,PT,72.16,38.5167,-28.7,Quinta da Meia Eira
70,Port Blair,IN,77.04,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
71,Asekeyevo,RU,65.03,53.5742,52.7972,
72,Finschhafen,PG,83.43,-6.6024,147.8681,Cossam Guest House
73,Nchelenge,ZM,62.74,-9.3451,28.734,KD Travellers Home
74,Buala,SB,84.6,-8.145,159.5921,Maringe Lagoon Lodge
75,Anloga,GH,75.42,5.7947,0.8973,Pin Drop Hotel
