City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sicuani,PE,2021-08-11 03:27:30,-14.2694,-71.2261,46.33,35,15,4.43
1,Esmeraldas,BR,2021-08-11 03:27:30,-19.7625,-44.3139,63.46,51,14,1.83
2,Vaini,TO,2021-08-11 03:22:53,-21.2,-175.2,68.16,77,75,13.8
3,Herat,AF,2021-08-11 03:27:31,34.5,62.0,74.64,17,0,10.71
4,Lebu,CL,2021-08-11 03:24:53,-37.6167,-73.65,45.21,83,1,17.05
5,Chokurdakh,RU,2021-08-11 03:24:59,70.6333,147.9167,68.9,39,86,6.46
6,Jamestown,US,2021-08-11 03:19:18,42.097,-79.2353,76.59,89,90,5.99
7,Vanavara,RU,2021-08-11 03:24:53,60.34,102.2797,75.58,37,41,3.8
8,Qaanaaq,GL,2021-08-11 03:22:56,77.484,-69.3632,43.66,73,100,9.53
9,The Valley,AI,2021-08-11 03:27:31,18.217,-63.0578,83.1,83,100,19.42
10,Cape Town,ZA,2021-08-11 03:20:33,-33.9258,18.4232,48.11,100,0,1.14
11,Atuona,PF,2021-08-11 03:22:41,-9.8,-139.0333,77.54,77,17,22.84
12,Busselton,AU,2021-08-11 03:20:52,-33.65,115.3333,58.08,68,93,10.83
13,Avarua,CK,2021-08-11 03:21:33,-21.2078,-159.775,80.65,74,1,3.44
14,Xinzhi,CN,2021-08-11 03:27:32,36.4989,111.7047,88.9,41,73,1.86
15,Kamenskiy,RU,2021-08-11 03:27:33,50.8855,45.488,72.82,40,99,10.83
16,Hithadhoo,MV,2021-08-11 03:24:27,-0.6,73.0833,81.3,70,61,7.54
17,Gornorechenskiy,RU,2021-08-11 03:27:33,44.2624,135.1133,60.17,71,100,4.27
18,Albany,US,2021-08-11 03:20:40,42.6001,-73.9662,76.95,85,78,4.63
19,Hermanus,ZA,2021-08-11 03:25:15,-34.4187,19.2345,47.89,72,0,1.59
20,Mataura,NZ,2021-08-11 03:22:45,-46.1927,168.8643,59.49,69,98,7.0
21,Laguna,US,2021-08-11 03:25:52,38.421,-121.4238,95.5,26,1,1.01
22,Punta Arenas,CL,2021-08-11 03:20:40,-53.15,-70.9167,37.51,70,75,21.85
23,Yellowknife,CA,2021-08-11 03:25:06,62.456,-114.3525,54.12,82,90,2.3
24,Rikitea,PF,2021-08-11 03:22:44,-23.1203,-134.9692,70.79,67,1,14.0
25,Bredasdorp,ZA,2021-08-11 03:27:35,-34.5322,20.0403,36.72,93,0,2.3
26,Kapaa,US,2021-08-11 03:22:56,22.0752,-159.319,84.52,70,40,1.99
27,Airai,TL,2021-08-11 03:25:03,-8.9266,125.4092,73.6,56,61,4.47
28,Kargat,RU,2021-08-11 03:27:36,55.1956,80.2811,66.04,71,75,9.01
29,East London,ZA,2021-08-11 03:25:05,-33.0153,27.9116,45.54,70,0,6.91
30,Ushuaia,AR,2021-08-11 03:22:43,-54.8,-68.3,37.06,60,20,8.05
31,Skala,PL,2021-08-11 03:27:38,50.2305,19.8536,61.18,90,0,2.3
32,Tasiilaq,GL,2021-08-11 03:22:55,65.6145,-37.6368,46.56,88,98,4.79
33,Batagay-Alyta,RU,2021-08-11 03:27:38,67.8006,130.4114,77.47,35,100,9.08
34,Carlsbad,US,2021-08-11 03:26:48,33.1581,-117.3506,81.59,83,1,1.01
35,Kavieng,PG,2021-08-11 03:26:30,-2.5744,150.7967,86.36,61,6,9.1
36,Kaitangata,NZ,2021-08-11 03:25:48,-46.2817,169.8464,56.91,67,100,6.29
37,Erdenet,MN,2021-08-11 03:27:40,49.0333,104.0833,67.17,56,2,1.9
38,San Patricio,US,2021-08-11 03:24:47,28.017,-97.5169,84.85,72,0,12.84
39,Acarau,BR,2021-08-11 03:27:40,-2.8856,-40.12,79.39,82,0,16.51
40,Tilichiki,RU,2021-08-11 03:25:32,60.4667,166.1,67.48,47,5,14.12
41,Barrow,US,2021-08-11 03:20:27,71.2906,-156.7887,37.42,78,90,10.36
42,Port Alfred,ZA,2021-08-11 03:21:01,-33.5906,26.891,55.67,49,0,8.55
43,Severo-Kurilsk,RU,2021-08-11 03:24:50,50.6789,156.125,57.72,70,0,8.03
44,Nikolskoye,RU,2021-08-11 03:22:56,59.7035,30.7861,58.01,88,97,0.58
45,Talnakh,RU,2021-08-11 03:23:05,69.4865,88.3972,45.61,84,100,6.22
46,Klaksvik,FO,2021-08-11 03:27:41,62.2266,-6.589,49.12,87,96,3.22
47,Mar Del Plata,AR,2021-08-11 03:20:24,-38.0023,-57.5575,33.82,80,0,5.75
48,Pangody,RU,2021-08-11 03:25:30,65.85,74.4859,56.23,64,0,11.25
49,Pisco,PE,2021-08-11 03:27:42,-13.7,-76.2167,60.85,82,33,9.22
50,Cabo San Lucas,MX,2021-08-11 03:20:56,22.8909,-109.9124,84.06,84,100,1.01
51,Bethel,US,2021-08-11 03:25:12,41.3712,-73.414,76.1,90,1,3.44
52,Yibin,CN,2021-08-11 03:27:42,28.7667,104.6238,83.97,74,100,1.97
53,Durazno,UY,2021-08-11 03:27:43,-33.4131,-56.5006,36.55,77,0,6.73
54,Huilong,CN,2021-08-11 03:27:43,31.8111,121.655,89.04,74,100,3.56
